no,family,genus,NO01,NO02,NO03,NO04,NO05,CO06,CO07,CO08,CO09,CO10
1,f_A,g_a,1,0.172,13.5,13.5,2.87,1.05,9.95,5.654,1.8,1.05
2,f_A,g_b,3,0.089,8.5,8.5,13.5,0.24,8.5,11.982,0.355,0.24
3,f_A,g_c,5,13.5,9.1,9.1,8.5,3.55,9.1,1.873,0.762,3.55
4,f_A,g_d,7,8.5,1.05,15,3.48,0.089,2.7,0.762,2.2,6.21
5,f_A,g_e,9,9.1,0.24,1.35,2.7,11.248,3.33,4.459,0.762,2.169
6,f_B,g_f,10,13.5,3.55,0.089,3.33,7.655,3,5.346,0.299,8.453
7,f_B,g_g,13.5,13.5,5.5,2.95,3,9.472,0.089,2.12,4.037,0.355
8,f_B,g_h,8.5,8.5,0.089,2.636,10,0.762,0.355,1.263,10.59,0.762
9,f_B,g_i,9.1,9.1,9.1,1.455,5.21,0.299,0.762,8.5,0.089,2.915
10,f_B,g_j,1.7,2.7,2.7,0.762,8.5,0.355,3.21,2.1,1.518,8.5
11,f_C,g_k,3.33,3,6.21,0.299,9.1,0.762,8.5,2.7,13.5,9.1
12,f_C,g_l,3,3,0.24,8,6.21,1.05,4.21,3.33,8.5,2.45
13,f_C,g_m,4,0.21,3.33,8.5,0.355,0.24,1.05,3,9.1,0.089
14,f_C,g_n,1.05,0.86,0.762,9.1,0.762,3.55,0.24,3.5,2.7,6.1
15,f_C,g_o,0.24,6.21,0.299,2.7,3.12,0.089,3.55,0.762,3.33,2.4
16,f_D,g_p,3.55,1.05,0.355,2.64,3.042,13.5,1.599,0.299,3,2.8
17,f_D,g_q,6.21,0.24,0.762,3,1.3,8.5,2.154,7.5,1.35,0.762
18,f_D,g_r,2.5,3.55,0.25,1.402,0.762,9.1,13.5,8.5,6.951,0.299
19,f_D,g_s,5.14,0.762,1.79,0.355,0.299,9.1,0.089,9.1,3.456,1.666
20,f_D,g_t,0.089,0.299,8.5,0.762,1.05,6.21,0.617,2.2,8.5,11.331
21,f_E,g_u,0.125,0.32,9.1,1.05,0.24,0.355,7.655,1.3,9.1,8.5
22,f_E,g_v,0.55,0.762,2.7,0.24,3.55,0.762,1.35,6.21,1.05,9.1
23,f_E,g_w,0.355,0.365,3.33,3.55,2,3.12,5.159,1.05,0.24,2.7
24,f_E,g_x,0.762,0.111,0.78,0.2,2.156,3.042,2.652,0.24,3.55,3.33
25,f_E,g_y,0.299,0.235,2.053,1.36,1.464,1.3,3.129,3.55,1.743,3
26,Others,Others,1,0.365,6.21,1.5,3.5,4.6,3.55,2.7,1.518,2.169
